08-01-2026 23:52 | 127.0.0.1:13933 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13935 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13937 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13939 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13941 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13943 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13945 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13947 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13949 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13951 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13953 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13955 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13957 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13959 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13961 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13963 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13965 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13967 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13969 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13971 | httpbin.org:80 | "GET http://httpbin.org/get HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13973 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13975 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13977 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13979 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13981 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13983 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13985 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13987 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13989 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13991 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13993 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13995 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
08-01-2026 23:52 | 127.0.0.1:13997 | httpbin.org:443 | "CONNECT httpbin.org:443 HTTP/1.1" | ALLOWED | 200 | 0
